id,order_id,ticker,event_ticker,city,market_type,side,contracts,entry_price_cents,fees_cents,estimated_temp_f,forecast_temp_f,primary_temp_f,surrounding_avg_f,confidence,edge_pct,model_std_dev,floor_strike,cap_strike,our_probability,market_probability,settled,actual_temp_f,settlement_result,pnl_cents,created_at,settled_at,prediction_error_f,notes,final_pnl_cents,signal_source
23,020dd84a-dde7-4c98-bffb-41556939acbd,KXLOWTMIA-26FEB17-B59.5,KXLOWTMIA-26FEB17,MIA,low,no,1,97,1,,,,,,,,,,,,1,65.0,win,3,2026-02-17T01:00:23.2285Z,2026-02-19 01:58:38,,,3,model
24,17230e0c-3bc5-481a-9a71-2225bde87a3d,KXLOWTNYC-26FEB17-B34.5,KXLOWTNYC-26FEB17,NYC,low,no,1,63,2,,,,,,,,,,,,1,35.0,loss,-63,2026-02-17T00:30:25.708685Z,2026-02-19 01:58:39,,,-63,model
25,1608de0c-c713-43e6-a706-9885a924feb5,KXLOWTMIA-26FEB17-B63.5,KXLOWTMIA-26FEB17,MIA,low,no,1,75,2,,,,,,,,,,,,1,65.0,win,25,2026-02-17T00:30:24.95901Z,2026-02-19 01:58:39,,,25,model
26,a9d7371b-b58e-4b72-b45e-ae51c138970c,KXLOWTMIA-26FEB17-B59.5,KXLOWTMIA-26FEB17,MIA,low,no,1,97,1,,,,,,,,,,,,1,65.0,win,3,2026-02-17T00:30:24.206856Z,2026-02-19 01:58:39,,,3,model
27,aa4a549a-2d26-488e-b756-644dcb2a8e9b,KXHIGHNY-26FEB15-B38.5,KXHIGHNY-26FEB15,NYC,high,yes,1,2,1,,,,,,,,,,,,1,40.0,loss,-2,2026-02-15T16:17:31.023587Z,2026-02-19 01:58:40,,,-2,model
28,1c7df6c2-4fc5-4419-807f-3709a991072d,KXHIGHNY-26FEB15-B36.5,KXHIGHNY-26FEB15,NYC,high,yes,1,1,1,,,,,,,,,,,,1,40.0,loss,-1,2026-02-15T14:24:45.964807Z,2026-02-19 01:58:40,,,-1,model
29,4681b215-4bba-4281-9d69-21510a4ad2a8,KXHIGHMIA-26FEB15-B74.5,KXHIGHMIA-26FEB15,MIA,high,yes,1,1,1,,,,,,,,,,,,1,81.0,loss,-1,2026-02-15T14:24:45.666368Z,2026-02-19 01:58:40,,,-1,model
30,9ec47192-0b3f-4013-a3e2-124b3b8897cc,KXHIGHNY-26FEB15-B38.5,KXHIGHNY-26FEB15,NYC,high,yes,1,1,1,,,,,,,,,,,,1,40.0,loss,-1,2026-02-15T14:24:45.367716Z,2026-02-19 01:58:41,,,-1,model
31,f9000967-7e76-47cc-8bbe-38a755c6e714,KXDHSFUND-26FEB23,KXDHSFUND-26FEB23,,high,no,1,94,1,,,,,,,,,,,,0,,,0,2026-02-14T18:32:54.073529Z,,,,,model
32,7d7a1ded-8877-4098-9adb-775a06617ad0,KXDHSFUND-26FEB23,KXDHSFUND-26FEB23,,high,no,1,85,2,,,,,,,,,,,,0,,,0,2026-02-13T20:20:04.111376Z,,,,,model
33,65cc22c4-848c-48a7-a181-2f3e3d3cc53d,KXGOVTSHUTDOWN-26FEB14,KXGOVTSHUTDOWN-26FEB14,,high,yes,1,95,1,,,,,,,,,,,,1,,win,5,2026-02-13T20:18:37.114139Z,2026-02-19 01:58:42,,,5,model
